Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Mbps (Media de bajada),Accesos por cada 100 hogares,Accesos por cada 100 hab
2020,4,Córdoba,267396,439322,125620,52827,17536,902701,35.120601241883946,78.07960876338194,23.904978675681004
2020,4,Corrientes,50102,61495,3146,5626,5290,125659,25.446700896630592,42.42828394694903,11.172002734788627
2020,4,Entre Ríos,85683,113670,15653,20206,12169,247381,24.05327825306045,59.47430676097378,17.78197083072765
2020,4,Formosa,21264,10789,2432,15341,380,50206,19.6983490087788,32.487381907596735,8.268390853815193
2020,4,Jujuy,32850,52815,15639,1077,3470,105851,25.20639328416149,53.45659123390888,13.66962311713536
2020,4,La Pampa,9009,58945,15432,12194,1315,96895,9.875605170860927,81.76793248945148,26.9404221718048
2020,4,La Rioja,17513,34984,1,250,30,52778,12.534655980598345,50.11061211701148,13.339129511730942
2020,4,Mendoza,91842,68364,36083,18331,833,215453,11.093171319457166,38.62957896227819,10.779753857792285
2020,4,Misiones,49462,79855,6589,4359,6896,147161,24.956617779680364,42.64411416119227,11.614898792582805
2020,4,Neuquén,30468,70614,13732,17689,632,133135,33.90786486677393,67.00234522048092,19.943555550895127
2020,4,Río Negro,48991,42022,17826,13994,18377,141210,21.636719189849995,61.08861548045476,18.789319055171752
2020,4,Salta,56659,87817,30604,5858,6452,187390,25.32243965074473,54.04275200147659,13.088389057411083
2020,4,San Juan,40072,7004,6599,10468,8453,72596,6.412867397953183,36.32088215575813,9.251858120163536
2020,4,San Luis,8417,11767,27,63019,36205,119435,21.252954082189127,81.67947806105701,23.375314368474104
2020,4,Santa Cruz,12347,19657,1041,4659,2970,40674,7.492108628119051,36.99957245908797,11.008682660661702
2020,4,Santa Fe,287271,414746,62692,38712,17392,820813,27.294352446215623,73.58073807267776,23.136769743176902
2020,4,Santiago Del Estero,26812,70522,570,5169,3596,106669,11.280765527511996,43.749256620689934,10.857437164805166
2020,4,Tierra Del Fuego,12853,26439,6,0,316,39614,8.486806949337868,76.26583496977399,22.609569143137627
2020,4,Tucumán,149322,11150,68043,1834,740,231089,36.44224682915296,54.78340441369959,13.57016980842894
2020,3,Buenos Aires,653930,2384557,749087,94162,55541,3937277,48.37662390811511,67.65618983090923,22.410088053440287
2020,3,Capital Federal,170375,1129573,39417,3936,29374,1372675,63.80852025607172,107.6759011657323,44.62274289719256
2020,3,Catamarca,26868,3690,16857,261,2228,49904,36.540436607329845,47.15709898417198,11.995288801288368
2020,3,Chaco,45745,58825,20675,6706,2003,133954,30.802726948564217,41.54192057806515,11.102767361905425
2020,3,Chubut,45761,39386,2897,23216,18767,130027,7.402074441844787,68.34389815720037,20.94871530485329
2020,3,Córdoba,276360,430771,102217,48368,9756,867472,33.51119497419789,75.22035723669207,23.029708353509868
2020,3,Corrientes,50858,58681,2960,5513,5379,123391,23.851523971242955,41.750749470464434,10.993613616681577
2020,3,Entre Ríos,87892,106950,13954,20379,12320,241495,22.432598646206184,58.1901640924315,17.398110879051448
2020,3,Formosa,21790,10003,2000,15023,393,49209,18.2828320694304,31.90562331018653,8.120337229392224
2020,3,Jujuy,32611,57682,11112,952,4371,106728,21.91041968686996,54.04441923820905,13.820037033679933
2020,3,La Pampa,9015,56845,14677,11893,1305,93735,10.697630905402091,79.26447706670275,26.11570201882304
2020,3,La Rioja,17346,34984,1,250,35,52616,12.194703767058195,50.11811323630268,13.341312020771634
2020,3,Mendoza,91908,64672,32817,17523,868,207788,10.18749103459563,37.348633137232696,10.422355488053226
2020,3,Misiones,50195,77989,2572,3445,8985,143186,24.14176187252152,41.60448628544863,11.331798537010409
2020,3,Neuquén,30222,70446,11043,16787,737,129235,31.46090402703376,65.24417025530218,19.42045929269766
2020,3,Río Negro,49530,40001,10381,13187,18368,131467,21.07777870325876,57.05240591584501,17.54802558517
2020,3,Salta,58216,84128,25445,5764,7293,180846,25.261155924027737,52.31571212848803,12.670239307125406
2020,3,San Juan,40092,9223,5509,14023,8480,77327,6.027864793582682,38.78995525412846,9.88083251128296
2020,3,San Luis,8401,10077,6,61828,36253,116565,20.84992813378867,79.96172209417188,22.8839263803681
2020,3,Santa Cruz,12845,16098,1027,6938,2373,39281,6.649363712026633,35.95152890784452,10.697207032526524
2020,3,Santa Fe,295051,405807,45721,37112,19307,802998,25.690941341268072,72.12060247348236,22.677710522681583
2020,3,Santiago Del Estero,26419,70720,555,4185,3613,105492,10.87901727065974,43.37593131691913,10.76484130094044
2020,3,Tierra Del Fuego,12854,26491,0,0,310,39655,8.506676055475614,76.80909583946696,22.7715153638102
2020,3,Tucumán,149605,11752,59949,1808,762,223876,34.835801698615526,53.2281495112899,13.184990703555616
2020,2,Buenos Aires,661272,2244277,723072,91736,57189,3777546,45.66197363212277,65.2205801358229,21.55285840483632
2020,2,Capital Federal,178896,1106133,39482,3937,29373,1357821,60.4844973584038,106.41480599073644,44.15182686820503
2020,2,Catamarca,26968,3641,14878,261,2228,47976,34.92595642857143,45.43181818181818,11.556666835285702
2020,2,Chaco,46816,56017,17266,6452,1581,128132,27.95228467436429,39.83250279006581,10.646198278920558
2020,2,Chubut,45761,38279,1324,17678,5614,108656,7.605487984559083,57.344613387235526,17.577923412048097
2020,2,Córdoba,282858,415007,85818,44522,8263,836468,30.987577637139463,72.71358531242393,22.26262976828413
2020,2,Corrientes,51248,55536,3144,3927,5011,118866,22.15030606257576,40.30476267979574,10.613139950481656
2020,2,Entre Ríos,89391,99423,13954,20042,11303,234113,20.448621178442583,56.538654739709614,16.90464963972206
2020,2,Formosa,21805,9353,1882,14723,169,47932,16.870258993114398,31.1394362262631,7.925539742616724
2020,2,Jujuy,32705,38938,5057,952,16664,94316,15.864013631862552,47.887810227872784,12.246000275261045
2020,2,La Pampa,8551,54422,14232,11314,1290,89809,8.028862255598405,76.10158288987562,25.07384596485546
2020,2,La Rioja,16885,34984,1,250,35,52155,11.66911096197726,49.83993501839552,13.267548880443243
2020,2,Mendoza,91904,62941,29613,15924,802,201184,9.274562732094155,36.25224342110005,10.116652469373571
2020,2,Misiones,50792,74497,2579,3319,9153,140340,22.560122617583183,40.88779600969606,11.136919674351834
2020,2,Neuquén,30256,67990,11037,15755,1134,126172,29.10014762387852,63.89846903376432,19.02059866374008
2020,2,Río Negro,49756,39650,10382,11331,18367,129486,19.679596047283173,56.36933524879196,17.338453751536527
2020,2,Salta,59502,81740,24289,5123,7108,177762,22.55853618795662,51.58158335340357,12.492822821915324
2020,2,San Juan,40092,8275,5509,7019,8882,69777,6.308614963196474,35.09485776365026,8.939786450606132
2020,2,San Luis,8401,8357,6,60935,36253,113952,21.02062693689071,78.4096773527651,22.440286647722235
2020,2,Santa Cruz,12845,16044,1027,6585,2368,38869,6.593202418178028,35.79262396979603,10.650675172081195
2020,2,Santa Fe,299974,381679,46698,30487,19094,777932,23.92579160898409,70.002168637187,22.01189934872471
2020,2,Santiago Del Estero,25917,72074,355,3038,4063,105447,10.411619106122004,43.46716682468362,10.787648634906734
2020,2,Tierra Del Fuego,12854,26025,0,0,310,39189,8.128329395457266,76.36948260742473,22.642392447335883
2020,2,Tucumán,150084,9833,55120,1357,762,217156,32.70453443718797,51.78074091030483,12.826796661758182
2020,1,Buenos Aires,673237,2210349,720688,85443,18334,3708051,45.18128807375552,64.32563101743429,21.20808101421276
2020,1,Capital Federal,184494,1097635,38898,3911,28556,1353494,58.70568296242247,105.98017414181908,44.02408243452466
2020,1,Catamarca,21945,3146,12056,261,2227,39635,29.132225012939607,37.615427687460254,9.568286447482455
2020,1,Chaco,46356,54144,11958,6239,1580,120277,25.942049334121737,37.483833369172615,10.018358007806318
2020,1,Chubut,45763,27287,1324,16885,5479,96738,7.117047781865397,51.26848941909703,15.715139739949183
2020,1,Córdoba,286168,406109,68512,41617,8693,811099,29.39478783506133,70.6880744339108,21.64232669040361
2020,1,Corrientes,51126,53231,2172,2437,5004,113970,20.538999274943325,38.7290799422309,10.198192297264283
